
変数情報		
変数	位置	ラベル
	2	女性
	9	不明・無回答
q01_08_3	99	不明・無回答
	999	非該当
q01_08_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_08_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_08_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_08_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_08_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_09_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_09_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_09_3	99	不明・無回答
	999	非該当
q01_09_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_09_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_09_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_09_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_09_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_10_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_10_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_10_3	99	不明・無回答
	999	非該当
q01_10_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_10_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_10_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_10_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_10_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_11_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_11_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_11_3	99	不明・無回答
	999	非該当
q01_11_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_11_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_11_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_11_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_11_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_12_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_12_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_12_3	99	不明・無回答
	999	非該当
q01_12_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_12_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_12_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_12_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_12_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_13_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_13_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_13_3	99	不明・無回答
	999	非該当
q01_13_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_13_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_13_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_13_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_13_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q02_01	0	選択なし
	1	選択あり
	99	不明・無回答
q02_02	0	選択なし
	1	選択あり
	99	不明・無回答
q02_03	0	選択なし
	1	選択あり
	99	不明・無回答
q02_04	0	選択なし
	1	選択あり
	99	不明・無回答
q02_05	0	選択なし
	1	選択あり
	99	不明・無回答
q02_06	0	選択なし
	1	選択あり
	99	不明・無回答
q02_07	0	選択なし
	1	選択あり
	99	不明・無回答
q02_08	0	選択なし
	1	選択あり
	99	不明・無回答
q02_09	0	選択なし
	1	選択あり
	99	不明・無回答
q02_10	0	選択なし
	1	選択あり
	99	不明・無回答
q02_11	0	選択なし
	1	選択あり
	99	不明・無回答
q02_21	0	選択なし
	1	選択あり
	99	不明・無回答
q02_22	0	選択なし
	1	選択あり
	99	不明・無回答
q02_23	0	選択なし
	1	選択あり
	99	不明・無回答
q02_24	0	選択なし
	1	選択あり
	99	不明・無回答
q02_25	0	選択なし
	1	選択あり
	99	不明・無回答
q03	1	完全5人世帯
	2	母子世帯
	3	高齢世帯
	4	長期療養世帯
	5	多子世帯
	6	その他の世帯
	9	無回答
q04_1	0	該当しない
	1	該当する
q04_2	0	該当しない
	1	該当する
q04_3	0	該当しない
	1	該当する
q04_4	0	該当しない
	1	該当する
q04_5	0	該当しない
	1	該当する
q04_6	0	該当しない
	1	該当する
q04_7	0	該当しない
	1	該当する
q04_8	0	該当しない
	1	該当する
q05_1_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_1_02	0	非該当
	1	職
	2	店
	3	工
	4	日
	9	不明・無回答
q05_1_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_1_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_1_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_1_06	0	非該当
	99	不明・無回答
q05_1_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_1_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_1_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_1_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_1_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_1_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_1_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_1_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_1_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_1_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_1_17	.00	該当しない
	88888.00	個人収入が不明
	99999.00	無回答・不明
q05_1_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q05_2_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_2_02	0	非該当
	1	職
	2	店
	3	工
	4	日
	9	不明・無回答
q05_2_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_2_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_2_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_2_06	0	非該当
	99	不明・無回答
q05_2_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_2_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_2_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_2_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_2_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_2_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_2_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_2_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_2_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_2_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_2_17	0	該当しない
	88888	個人収入が不明
	99999	無回答・不明
q05_2_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q05_3_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_3_02	0	非該当
	1	職
	2	店
	3	工
	4	日
	9	不明・無回答
q05_3_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_3_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_3_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_3_06	0	非該当
	99	不明・無回答
q05_3_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_3_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_3_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_3_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_3_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_3_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_3_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_3_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_3_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_3_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_3_17	0	該当しない
	88888	個人収入が不明
	99999	無回答・不明
q05_3_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q05_4_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_4_02	0	非該当
	1	職
	2	店
	3	工
	4	日
	9	不明・無回答
q05_4_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_4_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_4_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_4_06	0	非該当
	99	不明・無回答
q05_4_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_4_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_4_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_4_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_4_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_4_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_4_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_4_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_4_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_4_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_4_17	0	該当しない
	88888	個人収入が不明
	99999	無回答・不明
q05_4_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q05_5_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_5_02	0	非該当
	1	職員
	2	店員
	3	工員
	4	日雇
	9	不明・無回答
q05_5_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_5_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_5_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_5_06	0	非該当
	99	不明・無回答
q05_5_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_5_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_5_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_5_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_5_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_5_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_5_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_5_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_5_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_5_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_5_17	0	該当しない
	88888	個人収入が不明
	99999	無回答・不明
q05_5_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q05_6_01	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	12	世帯員12
	13	世帯員13
	99	不明・無回答
q05_6_02	0	非該当
	1	職員
	2	店員
	3	工員
	4	日雇
	9	不明・無回答
q05_6_03	0	非該当
	1	正（常時雇用）
	2	臨時・日雇雇用
	9	不明・無回答
q05_6_04	777777	休職中
	888888	非該当
	999999	無回答・不明
q05_6_05code	10	農業
	20	林業
	30	漁業
	40	鉱業
	50	建設業
	60	製造業
	70	電気・ガス・熱供給・水道業
	81	運輸業
	82	旅行業
	91	卸売
	92	小売
	93	飲食店
	100	金融・保険業
	110	不動産業
	121	新聞・放送・出版業、映画製作業
	122	広告業
	131	情報・通信サービス業
	132	郵貯・簡保
	140	医療・福祉サービス業
	150	教育・研究サービス業
	160	法律・会計サービス業
	171	その他サービス業
	172	学習塾・教養技能・スポーツ施設
	180	公務
	190	分類不能
	980	非該当
	990	無回答・不明
q05_6_06	0	非該当
	99	不明・無回答
q05_6_07	777777	記載がないが、元手なしで営業可能と判断できる
	888888	非該当
	999999	無回答・不明
q05_6_08	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_6_09	0	非該当
	1	30アール未満
	2	30～69アール未満
	3	70アール以上
	9	無回答・不明
q05_6_10	0	該当なし
	1	該当あり
	9	無回答・不明
q05_6_11	0	該当なし
	1	該当あり
	9	無回答・不明
q05_6_12	0	該当なし
	1	該当あり
	9	無回答・不明
q05_6_13	0	該当なし
	1	該当あり
	9	無回答・不明
q05_6_14	0	非該当
	1	単独操業
	2	沿岸漁業者
	3	遠洋漁業者
	9	不明・無回答
q05_6_15	0	非該当
	888888	個人収入が不明
	999999	無回答・不明
q05_6_16	0	非該当
	1	問屋工場
	2	授産所
	3	単独
	4	その他
	9	不明・無回答
q05_6_17	0	該当しない
	88888	個人収入が不明
	99999	無回答・不明
q05_6_18	0	非該当
	1	5人未満
	2	10人未満
	3	20人未満
	4	50人未満
	5	100人未満
	6	500人未満
	7	500人以上
	8	農業・内職で無回答・非該当
	9	不明・無回答
q06_1	999999	不明・無回答
q06_2	999999	不明・無回答
q06_3	999999	不明・無回答
q06_4	999999	不明・無回答
q06_5	999999	不明・無回答
q06_6	999999	不明・無回答
q06_7	999999	不明・無回答
q06_8	999999	不明・無回答
q07	1	4999円以下
	2	5000～9999円以下
	3	10000～14000円以下
	4	15000～19999円以下
	5	20000～24999円以下
	6	25000～29999円以下
	7	30000～34999円以下
	8	35000円以上
	99	収入を答えていない
q08	1	ふえてきた
	2	変らない
	3	へってきた
	4	わからない
	9	不明・無回答
q09_1	0	該当しない
	1	該当する
q09_2	0	該当しない
	1	該当する
q09_3	0	該当しない
	1	該当する
q09_4	0	該当しない
	1	該当する
q09_5	0	該当しない
	1	該当する
q09_6	0	該当しない
	1	該当する
q09_7	0	該当しない
	1	該当する
q09_8	0	該当しない
	1	該当する
q10_1	0	該当しない
	1	該当する
q10_2	0	該当しない
	1	該当する
q10_3	0	該当しない
	1	該当する
q10_4	0	該当しない
	1	該当する
q10_5	0	該当しない
	1	該当する
q10_6	0	該当しない
	1	該当する
q10_7	0	該当しない
	1	該当する
q10_8	0	該当しない
	1	該当する
q11current	0	非該当
	1	該当
q11othera	0	非該当
	1	該当
q11otherb	0	非該当
	1	世帯員1
	2	世帯員2
	3	世帯員3
	4	世帯員4
	5	世帯員5
	6	世帯員6
	7	世帯員7
	8	世帯員8
	9	世帯員9
	10	世帯員10
	11	世帯員11
	77	死別，不在等の生計中心者
	99	不明
q11_1_1	0	非該当
	99	不明・無回答
q11_1_2	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	定年
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_2_1	0	非該当
	99	不明・無回答
q11_2_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_2_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_3_1	0	非該当
	99	不明・無回答
q11_3_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_3_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_4_1	0	非該当
	99	不明・無回答
q11_4_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_4_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_5_1	0	非該当
	99	不明・無回答
q11_5_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_5_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_6_1	0	非該当
	99	不明・無回答
q11_6_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_6_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_7_1	0	非該当
	99	不明・無回答
q11_7_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_7_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_8_1	0	非該当
	99	不明・無回答
q11_8_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_8_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_9_1	0	非該当
	99	不明・無回答
q11_9_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_9_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_10_1	0	非該当
	99	不明・無回答
q11_10_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_10_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q11_11_1	0	非該当
	99	不明・無回答
q11_11_2	0	非該当
	1	解（解雇）
	2	病（傷病）
	3	退（自己都合退職）
	4	その他
	6	退職から再就職
	7	兵役・出征・応召
	8	定年
	99	不明・無回答
q11_11_3	0	非該当
	1	会社
	2	工場
	3	商店
	4	自営
	5	公務
	6	日雇
	7	その他
	8	退職
	11	兵役・出征・応召（抑留期間含む）
	12	休職
	99	不明・無回答
q12_1	99	不明・無回答
q12_2	99	不明・無回答
q12_3	99	不明・無回答
q12_4	99	不明・無回答
q12_5	99	不明・無回答
q12_6	99	不明・無回答
q13codeb	1	横浜市
	2	川崎市
	3	横須賀市
	41	逗子市
	42	三浦市
	43	大和市
	51	相模原市
	52	平塚市
	53	鎌倉市
	54	藤沢市
	55	小田原市
	56	茅ヶ崎市
	57	秦野市
	58	厚木市
	81	三浦郡
	82	高座郡
	83	中郡
	84	足柄上郡
	85	足柄下郡
	86	愛甲郡
	87	津久井郡
	98	神奈川県内その他市郡
	99	神奈川県内のどこか不明
	1001	北海道
	1002	青森県
	1003	岩手県
	1004	宮城県
	1005	秋田県
	1006	山形県
	1007	福島県
	1008	茨城県
	1009	栃木県
	1010	群馬県
	1011	埼玉県
